73.03,6.568143367767334,0.863448275862069,0.9965870307167235,0.8555555555555555,0.7223168654173765,0.7793764988009593,0.9455782312925171,0.3176654915785351,0.8413001912045889,0.9463917525773196,0.8800738007380073,0.626,0.876,0.231,0.848,0.325,0.834,0.811,0.88,0.918,0.954
81.87,4.965003699064255,0.8127705627705628,0.9853862212943633,0.8251851851851851,0.8308457711442786,0.6858864027538726,0.9696629213483146,0.49316170555108607,0.8531021897810219,0.9193083573487032,0.9294234592445328,0.751,0.944,0.557,0.835,0.797,0.863,0.613,0.935,0.957,0.935
83.22,4.766816973686218,0.7692307692307693,0.9679358717434869,0.7574468085106383,0.8762214983713354,0.611764705882353,0.9408766564729868,0.6554770318021201,0.8911174785100286,0.9375,0.9369369369369369,0.83,0.966,0.712,0.807,0.884,0.923,0.371,0.933,0.96,0.936
83.92,4.7883294224739075,0.6659513590844063,0.9854469854469855,0.771047227926078,0.8512720156555773,0.6757387247278382,0.9209257473481196,0.8536585365853658,0.9456762749445676,0.9517716535433071,0.9004651162790698,0.931,0.948,0.751,0.87,0.869,0.955,0.28,0.853,0.967,0.968
85.34,4.098005473613739,0.845054945054945,0.9854469854469855,0.8167597765363128,0.8118081180811808,0.7425925925925926,0.9485887096774194,0.6088631984585742,0.9271794871794872,0.9525222551928784,0.9154795821462488,0.769,0.948,0.731,0.88,0.802,0.941,0.632,0.904,0.963,0.964
84.88,4.0755747854709625,0.836824696802646,0.9815384615384616,0.8090128755364807,0.8822905620360552,0.7827510917030568,0.9033457249070632,0.5454545454545454,0.9260020554984584,0.9616935483870968,0.9498464687819856,0.759,0.957,0.754,0.832,0.717,0.972,0.714,0.901,0.954,0.928
86.27,3.8453508615493774,0.7920517560073937,0.9885773624091381,0.8191721132897604,0.845861084681256,0.7815040650406504,0.9700413223140496,0.6273917421953675,0.9246987951807228,0.961038961038961,0.9224137931034483,0.857,0.952,0.752,0.889,0.769,0.939,0.623,0.921,0.962,0.963
85.14,4.100111544132233,0.7537248028045574,0.9876160990712074,0.6955128205128205,0.8369462770970783,0.7439024390243902,0.9796573875802997,0.7847082494969819,0.8581497797356828,0.9497536945812808,0.9689507494646681,0.86,0.957,0.868,0.888,0.793,0.915,0.39,0.974,0.964,0.905
86.52,3.7375730872154236,0.8255234297108675,0.9917184265010351,0.7673130193905817,0.8482228626320846,0.7910772578890098,0.9778481012658228,0.6607142857142857,0.9183070866141733,0.9455252918287937,0.9233716475095786,0.828,0.958,0.831,0.883,0.727,0.927,0.629,0.933,0.972,0.964
86.89,3.6341489255428314,0.7985074626865671,0.9917440660474717,0.8183738120380147,0.8314711359404097,0.75,0.9708333333333333,0.7116788321167883,0.9074252651880425,0.9610778443113772,0.9435084241823588,0.856,0.961,0.775,0.893,0.831,0.932,0.585,0.941,0.963,0.952
